PLAYER_ID,TEAM_ID,PERIOD,ACTION_TYPE,SHOT_TYPE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_MADE_FLAG,SEASON,TOTAL_REMAINING_IN_GAME
977,47,3,4,2,13,-106,82,1,2010,1266
2449,45,3,4,2,19,86,175,0,2010,1251
201978,45,3,3,2,3,-23,22,1,2010,1230
977,47,3,4,2,19,-127,146,1,2010,1213
2449,45,3,4,2,17,-37,170,1,2010,1192
201166,45,3,4,2,21,-98,190,0,2010,1138
977,47,3,4,2,20,-180,108,0,2010,1120
2200,47,3,4,2,5,-19,48,1,2010,1103
2449,45,3,4,2,16,-166,-2,0,2010,1078
2200,47,3,14,2,2,2,23,1,2010,1059
977,47,3,16,2,17,-122,129,1,2010,1031
201166,45,3,28,2,3,20,31,1,2010,1016
965,47,3,4,2,16,-101,129,0,2010,984
965,47,3,4,2,20,179,102,0,2010,958
965,47,3,10,2,7,-43,61,1,2010,942
2449,45,3,4,2,4,34,26,0,2010,929
965,47,3,4,2,20,-199,31,0,2010,917
1897,47,3,4,3,25,119,230,0,2010,898
1802,45,3,4,2,3,-24,30,0,2010,875
1897,47,3,4,2,6,-57,37,0,2010,856
1897,47,3,4,2,19,-179,77,0,2010,854
201978,45,3,4,3,26,-57,260,0,2010,845
201166,45,3,4,2,14,121,78,0,2010,827
689,47,3,4,2,9,62,74,0,2010,809
200769,47,3,4,2,15,18,151,0,2010,789
2581,47,3,4,3,25,144,216,1,2010,778
2581,47,3,4,3,22,228,-3,1,2010,746
201584,45,3,4,3,23,231,56,0,2010,722
201584,45,4,0,2,2,-15,15,1,2010,700
200769,47,4,4,3,25,141,209,1,2010,681
201166,45,4,4,3,25,159,201,0,2010,665
2200,47,4,4,2,15,7,151,0,2010,656
201584,45,4,17,2,4,17,45,1,2010,649
2440,47,4,5,2,3,3,30,0,2010,608
2200,47,4,21,2,2,-24,12,1,2010,606
2397,45,4,16,2,9,-90,22,0,2010,581
2397,45,4,3,2,2,-18,19,0,2010,575
1885,47,4,4,3,25,-23,258,0,2010,566
2440,47,4,0,2,3,-23,20,0,2010,563
2755,45,4,4,3,24,-146,197,0,2010,552
200769,47,4,28,2,3,31,22,1,2010,547
201584,45,4,4,3,25,155,200,0,2010,522
200769,47,4,4,3,27,91,261,1,2010,496
2397,45,4,7,2,1,18,7,1,2010,453
2200,47,4,4,2,15,-103,121,0,2010,429
2755,45,4,17,2,9,-97,19,1,2010,404
2449,45,4,4,2,9,99,9,0,2010,363
200769,47,4,4,3,26,-149,214,1,2010,351
200769,47,4,4,3,26,40,265,1,2010,330
2449,45,4,12,2,6,-59,20,1,2010,313
2200,47,4,4,2,13,42,132,0,2010,292
2203,45,4,4,3,25,130,225,0,2010,281
977,47,4,4,2,14,-79,127,0,2010,259
201166,45,4,4,2,15,-2,157,0,2010,250
2203,45,4,0,2,2,-10,22,0,2010,247
2449,45,4,19,2,1,-4,14,0,2010,245
1802,45,4,19,2,0,7,0,0,2010,244
2755,45,4,4,2,6,18,66,0,2010,217
2449,45,4,0,2,2,12,19,0,2010,214
1885,47,4,0,2,2,0,26,1,2010,206
2449,45,4,4,2,12,-128,19,0,2010,176
2755,45,4,4,3,28,-98,271,1,2010,158
200769,47,4,4,2,13,-59,116,0,2010,134
2449,45,4,26,2,3,0,31,1,2010,118
977,47,4,3,2,2,18,23,1,2010,105
1802,45,4,4,3,23,237,1,0,2010,94
2449,45,4,21,2,2,18,23,1,2010,93
977,47,4,4,3,25,78,244,0,2010,76
201166,45,4,3,2,2,15,25,1,2010,67
2200,47,4,9,2,7,73,12,0,2010,53
2200,47,4,10,2,12,23,124,1,2010,39
2449,45,4,0,2,2,13,25,1,2010,29
2581,47,4,4,3,26,80,255,1,2010,18
2449,45,4,0,2,2,21,20,0,2010,2
201166,45,4,4,2,3,-13,34,0,2010,0
200765,38,1,3,2,1,-15,9,1,2010,2849
1515,39,1,4,2,17,-52,172,0,2010,2834
1718,38,1,4,2,16,113,124,0,2010,2819
201196,39,1,4,2,14,-23,148,0,2010,2810
406,38,1,0,2,0,-5,7,1,2010,2803
201581,39,1,4,2,12,127,26,1,2010,2785
201581,39,1,4,2,17,-123,127,1,2010,2747
201581,39,1,4,2,10,81,60,0,2010,2702
201581,39,1,4,2,14,135,52,0,2010,2698
200081,39,1,21,2,1,1,17,1,2010,2697
708,38,1,5,2,1,-7,17,1,2010,2645
708,38,1,4,2,22,-92,201,1,2010,2612
200081,39,1,4,2,19,20,197,0,2010,2599
951,38,1,4,2,14,144,25,0,2010,2584
201581,39,1,29,2,9,-51,75,1,2010,2562
708,38,1,8,2,1,-2,12,1,2010,2535
201581,39,1,7,2,0,-2,1,1,2010,2521
406,38,1,0,2,0,1,9,1,2010,2497
201196,39,1,17,2,8,-23,78,0,2010,2486
1515,39,1,4,2,16,165,28,1,2010,2476
201175,38,1,4,2,18,-81,167,0,2010,2452
200797,39,1,4,2,15,-142,52,0,2010,2408
200765,38,1,4,3,25,-117,231,1,2010,2384
1515,39,1,4,2,19,192,14,0,2010,2362
979,38,1,4,2,16,-160,56,0,2010,2336
200789,39,1,4,3,26,-137,223,0,2010,2330
201175,38,1,9,2,17,-163,56,1,2010,2311
200789,39,1,3,2,0,7,6,0,2010,2293
200797,39,1,21,2,1,1,11,1,2010,2292
200765,38,1,0,2,1,0,11,1,2010,2272
200797,39,1,4,2,6,-8,64,1,2010,2262
200765,38,1,4,2,18,69,168,1,2010,2241
1515,39,1,4,2,13,-123,63,0,2010,2218
200789,39,1,4,3,27,7,272,0,2010,2213
101126,38,2,2,2,18,-41,181,0,2010,2130
101214,39,2,4,2,16,154,58,0,2010,2122
201196,39,2,4,2,4,17,37,0,2010,2091
201196,39,2,3,2,1,0,12,1,2010,2081
201175,38,2,0,2,1,-5,11,1,2010,2061
200789,39,2,4,2,15,-146,60,0,2010,2055
2605,38,2,4,2,10,-95,36,1,2010,2023
